FIPS10,year,fmr
01001,1983,269
01001,1985,279
01001,1986,336
01001,1987,343
01001,1988,352
01001,1989,357
01001,1990,365
01001,1991,374
01001,1992,387
01001,1993,397
01001,1994,456
01001,1995,444
01001,1996,459
01001,1997,473
01001,1998,486
01001,1999,496
01001,2000,499
01001,2001,507
01001,2002,522
01001,2003,535
01001,2004,537
01001,2005,583
01001,2006,599
01001,2007,623
01001,2008,660
01001,2009,706
01001,2010,735
01001,2011,735
01001,2012,723
01001,2013,790
01001,2014,710
01001,2015,788
01001,2016,788
01001,2017,822
01003,1983,309
01003,1985,320
01003,1986,378
01003,1987,386
01003,1988,396
01003,1989,401
01003,1990,410
01003,1991,421
01003,1992,435
01003,1993,447
01003,1994,401
01003,1995,398
01003,1996,411
01003,1997,423
01003,1998,473
01003,1999,482
01003,2000,485
01003,2001,493
01003,2002,507
01003,2003,521
01003,2004,523
01003,2005,561
01003,2006,619
01003,2007,644
01003,2008,686
01003,2009,733
01003,2010,764
01003,2011,764
01003,2012,691
01003,2013,729
01003,2014,827
01003,2015,762
01003,2016,873
01003,2017,977
01005,1983,300
01005,1985,311
01005,1986,264
01005,1987,270
01005,1988,277
01005,1989,281
01005,1990,287
01005,1991,294
01005,1992,304
01005,1993,311
01005,1994,290
01005,1995,282
01005,1996,332
01005,1997,336
01005,1998,343
01005,1999,347
01005,2000,347
01005,2001,350
01005,2002,359
01005,2003,370
01005,2004,370
01005,2005,425
01005,2006,437
01005,2007,455
01005,2008,485
01005,2009,518
01005,2010,539
01005,2011,539
01005,2012,499
01005,2013,584
01005,2014,583
01005,2015,670
01005,2016,636
01005,2017,671
01007,1983,312
01007,1985,323
01007,1986,257
01007,1987,263
01007,1988,270
01007,1989,274
01007,1990,280
01007,1991,287
01007,1992,297
01007,1993,304
01007,1994,331
01007,1995,321
01007,1996,332
01007,1997,336
01007,1998,343
01007,1999,347
01007,2000,347
01007,2001,350
01007,2002,359
01007,2003,370
01007,2004,370
01007,2005,431
01007,2006,581
01007,2007,604
01007,2008,690
01007,2009,698
01007,2010,735
01007,2011,786
01007,2012,750
01007,2013,785
01007,2014,743
01007,2015,773
01007,2016,840
01007,2017,866
01009,1983,327
01009,1985,339
01009,1986,365
01009,1987,373
01009,1988,383
01009,1989,370
01009,1990,378
01009,1991,403
01009,1992,417
01009,1993,428
01009,1994,440
01009,1995,433
01009,1996,447
01009,1997,460
01009,1998,472
01009,1999,481
01009,2000,519
01009,2001,528
01009,2002,543
01009,2003,557
01009,2004,559
01009,2005,577
01009,2006,581
01009,2007,604
01009,2008,690
01009,2009,698
01009,2010,735
01009,2011,786
01009,2012,750
01009,2013,785
01009,2014,743
01009,2015,773
01009,2016,840
01009,2017,866
01011,1983,269
01011,1985,279
01011,1986,249
01011,1987,275
01011,1988,282
01011,1989,286
01011,1990,292
01011,1991,299
01011,1992,309
01011,1993,316
01011,1994,218
01011,1995,258
01011,1996,332
01011,1997,336
01011,1998,343
01011,1999,347
01011,2000,347
01011,2001,350
01011,2002,359
01011,2003,370
01011,2004,370
01011,2005,434
01011,2006,447
01011,2007,465
01011,2008,494
01011,2009,528
01011,2010,550
01011,2011,550
01011,2012,499
01011,2013,584
01011,2014,566
01011,2015,599
01011,2016,569
01011,2017,621
01013,1983,300
01013,1985,311
01013,1986,249
01013,1987,254
01013,1988,287
01013,1989,291
01013,1990,297
01013,1991,305
01013,1992,315
01013,1993,322
01013,1994,297
01013,1995,289
01013,1996,332
01013,1997,336
01013,1998,343
01013,1999,347
01013,2000,347
01013,2001,350
01013,2002,359
01013,2003,370
01013,2004,370
01013,2005,434
01013,2006,447
01013,2007,465
01013,2008,494
01013,2009,528
01013,2010,550
01013,2011,550
01013,2012,499
01013,2013,584
01013,2014,566
