fips,ruc93,ruc03,ruc13,metro93,metro03,metro13
1001,2,2,2,metro,metro,metro
1003,2,4,3,metro,nonmetro,metro
1005,6,6,6,nonmetro,nonmetro,nonmetro
1007,6,1,1,nonmetro,metro,metro
1009,2,1,1,metro,metro,metro
1011,6,6,6,nonmetro,nonmetro,nonmetro
1013,7,6,6,nonmetro,nonmetro,nonmetro
1015,3,3,3,metro,metro,metro
1017,5,6,6,nonmetro,nonmetro,nonmetro
1019,6,8,6,nonmetro,nonmetro,nonmetro
1021,6,1,1,nonmetro,metro,metro
1023,9,9,9,nonmetro,nonmetro,nonmetro
1025,7,7,7,nonmetro,nonmetro,nonmetro
1027,9,9,9,nonmetro,nonmetro,nonmetro
1029,6,8,8,nonmetro,nonmetro,nonmetro
1031,4,6,4,nonmetro,nonmetro,nonmetro
1033,3,3,3,metro,metro,metro
1035,7,9,7,nonmetro,nonmetro,nonmetro
1037,8,8,8,nonmetro,nonmetro,nonmetro
1039,7,7,6,nonmetro,nonmetro,nonmetro
1041,6,8,8,nonmetro,nonmetro,nonmetro
1043,6,6,4,nonmetro,nonmetro,nonmetro
1045,3,4,4,metro,nonmetro,nonmetro
1047,4,4,4,nonmetro,nonmetro,nonmetro
1049,6,6,6,nonmetro,nonmetro,nonmetro
1051,2,2,2,metro,metro,metro
1053,6,6,6,nonmetro,nonmetro,nonmetro
1055,3,3,3,metro,metro,metro
1057,6,6,6,nonmetro,nonmetro,nonmetro
1059,6,6,6,nonmetro,nonmetro,nonmetro
1061,6,3,3,nonmetro,metro,metro
1063,8,3,8,nonmetro,metro,nonmetro
1065,6,3,3,nonmetro,metro,metro
1067,6,3,3,nonmetro,metro,metro
1069,3,3,3,metro,metro,metro
1071,6,6,6,nonmetro,nonmetro,nonmetro
1073,2,1,1,metro,metro,metro
1075,9,9,8,nonmetro,nonmetro,nonmetro
1077,3,3,3,metro,metro,metro
1079,3,3,3,metro,metro,metro
1081,4,3,3,nonmetro,metro,metro
1083,2,2,2,metro,metro,metro
1085,8,2,2,nonmetro,metro,metro
1087,6,6,6,nonmetro,nonmetro,nonmetro
1089,2,2,2,metro,metro,metro
1091,7,7,7,nonmetro,nonmetro,nonmetro
1093,7,8,7,nonmetro,nonmetro,nonmetro
1095,4,4,4,nonmetro,nonmetro,nonmetro
1097,2,2,2,metro,metro,metro
1099,7,7,7,nonmetro,nonmetro,nonmetro
1101,2,2,2,metro,metro,metro
1103,3,3,3,metro,metro,metro
1105,7,8,8,nonmetro,nonmetro,nonmetro
1107,6,8,3,nonmetro,nonmetro,metro
1109,6,6,6,nonmetro,nonmetro,nonmetro
1111,7,6,6,nonmetro,nonmetro,nonmetro
1113,2,2,2,metro,metro,metro
1115,2,1,1,metro,metro,metro
1117,2,1,1,metro,metro,metro
1119,7,8,8,nonmetro,nonmetro,nonmetro
1121,4,4,4,nonmetro,nonmetro,nonmetro
1123,6,6,6,nonmetro,nonmetro,nonmetro
1125,3,3,3,metro,metro,metro
1127,6,1,1,nonmetro,metro,metro
1129,8,8,8,nonmetro,nonmetro,nonmetro
1131,9,8,9,nonmetro,nonmetro,nonmetro
1133,6,6,6,nonmetro,nonmetro,nonmetro
