fips,st_fips,st_abrv,st_name,cty_fips,cty_name,disasters,ihp,iap,pap,hmp
1001,01,AL,Alabama,001,Autauga County,6,0,3,6,0
1003,01,AL,Alabama,003,Baldwin County,13,0,8,13,1
1005,01,AL,Alabama,005,Barbour County,8,0,6,8,0
1007,01,AL,Alabama,007,Bibb County,4,0,2,4,0
1009,01,AL,Alabama,009,Blount County,6,0,4,6,0
1011,01,AL,Alabama,011,Bullock County,6,0,4,6,0
1013,01,AL,Alabama,013,Butler County,7,0,4,7,0
1015,01,AL,Alabama,015,Calhoun County,7,0,5,4,0
1017,01,AL,Alabama,017,Chambers County,7,0,5,6,0
1019,01,AL,Alabama,019,Cherokee County,6,0,4,6,0
1021,01,AL,Alabama,021,Chilton County,8,0,5,7,0
1023,01,AL,Alabama,023,Choctaw County,10,0,7,9,1
1025,01,AL,Alabama,025,Clarke County,8,0,5,8,1
1027,01,AL,Alabama,027,Clay County,8,0,5,8,0
1029,01,AL,Alabama,029,Cleburne County,8,0,5,6,0
1031,01,AL,Alabama,031,Coffee County,11,0,8,11,1
1033,01,AL,Alabama,033,Colbert County,8,0,4,8,1
1035,01,AL,Alabama,035,Conecuh County,10,0,7,10,0
1037,01,AL,Alabama,037,Coosa County,6,0,3,5,0
1039,01,AL,Alabama,039,Covington County,12,0,9,12,1
1041,01,AL,Alabama,041,Crenshaw County,9,0,6,9,1
1043,01,AL,Alabama,043,Cullman County,14,0,10,13,1
1045,01,AL,Alabama,045,Dale County,10,0,8,9,0
1047,01,AL,Alabama,047,Dallas County,8,0,6,5,0
1049,01,AL,Alabama,049,DeKalb County,13,0,9,12,0
1051,01,AL,Alabama,051,Elmore County,6,0,4,5,0
1053,01,AL,Alabama,053,Escambia County,10,0,7,10,1
1055,01,AL,Alabama,055,Etowah County,11,0,8,10,0
1057,01,AL,Alabama,057,Fayette County,6,0,2,6,0
1059,01,AL,Alabama,059,Franklin County,8,0,3,8,1
1061,01,AL,Alabama,061,Geneva County,12,0,9,12,1
1063,01,AL,Alabama,063,Greene County,5,0,3,4,0
1065,01,AL,Alabama,065,Hale County,6,0,4,5,0
1067,01,AL,Alabama,067,Henry County,7,0,5,7,0
1069,01,AL,Alabama,069,Houston County,8,0,6,7,0
