year,fips,st_fips,st_abrv,st_name,cty_fips,cty_name,disasters,ihp,iap,pap,hmp
1964,6003,06,CA,California,003,Alpine County,1,0,1,1,0
1964,6005,06,CA,California,005,Amador County,1,0,1,1,0
1964,6007,06,CA,California,007,Butte County,1,0,1,1,0
1964,6011,06,CA,California,011,Colusa County,1,0,1,1,0
1964,6015,06,CA,California,015,Del Norte County,1,0,1,1,0
1964,6017,06,CA,California,017,El Dorado County,1,0,1,1,0
1964,6021,06,CA,California,021,Glenn County,1,0,1,1,0
1964,6023,06,CA,California,023,Humboldt County,1,0,1,1,0
1964,6033,06,CA,California,033,Lake County,1,0,1,1,0
1964,6035,06,CA,California,035,Lassen County,1,0,1,1,0
1964,6041,06,CA,California,041,Marin County,1,0,1,1,0
1964,6045,06,CA,California,045,Mendocino County,1,0,1,1,0
1964,6049,06,CA,California,049,Modoc County,1,0,1,1,0
1964,6055,06,CA,California,055,Napa County,1,0,1,1,0
1964,6057,06,CA,California,057,Nevada County,1,0,1,1,0
1964,6061,06,CA,California,061,Placer County,1,0,1,1,0
1964,6063,06,CA,California,063,Plumas County,1,0,1,1,0
1964,6067,06,CA,California,067,Sacramento County,1,0,1,1,0
1964,6077,06,CA,California,077,San Joaquin County,1,0,1,1,0
1964,6089,06,CA,California,089,Shasta County,1,0,1,1,0
1964,6091,06,CA,California,091,Sierra County,1,0,1,1,0
1964,6093,06,CA,California,093,Siskiyou County,1,0,1,1,0
1964,6095,06,CA,California,095,Solano County,1,0,1,1,0
1964,6097,06,CA,California,097,Sonoma County,1,0,1,1,0
1964,6099,06,CA,California,099,Stanislaus County,1,0,1,1,0
1964,6101,06,CA,California,101,Sutter County,1,0,1,1,0
1964,6103,06,CA,California,103,Tehama County,1,0,1,1,0
1964,6105,06,CA,California,105,Trinity County,1,0,1,1,0
1964,6109,06,CA,California,109,Tuolumne County,1,0,1,1,0
1964,6113,06,CA,California,113,Yolo County,1,0,1,1,0
1964,6115,06,CA,California,115,Yuba County,1,0,1,1,0
1964,16001,16,ID,Idaho,001,Ada County,1,0,1,1,0
1964,16005,16,ID,Idaho,005,Bannock County,1,0,1,1,0
1964,16009,16,ID,Idaho,009,Benewah County,1,0,1,1,0
1964,16013,16,ID,Idaho,013,Blaine County,1,0,1,1,0
1964,16015,16,ID,Idaho,015,Boise County,1,0,1,1,0
1964,16019,16,ID,Idaho,019,Bonneville County,1,0,1,1,0
1964,16023,16,ID,Idaho,023,Butte County,1,0,1,1,0
1964,16025,16,ID,Idaho,025,Camas County,1,0,1,1,0
1964,16029,16,ID,Idaho,029,Caribou County,1,0,1,1,0
1964,16031,16,ID,Idaho,031,Cassia County,1,0,1,1,0
1964,16035,16,ID,Idaho,035,Clearwater County,1,0,1,1,0
1964,16039,16,ID,Idaho,039,Elmore County,1,0,1,1,0
1964,16045,16,ID,Idaho,045,Gem County,1,0,1,1,0
1964,16047,16,ID,Idaho,047,Gooding County,1,0,1,1,0
1964,16049,16,ID,Idaho,049,Idaho County,1,0,1,1,0
1964,16053,16,ID,Idaho,053,Jerome County,1,0,1,1,0
1964,16055,16,ID,Idaho,055,Kootenai County,1,0,1,1,0
1964,16057,16,ID,Idaho,057,Latah County,1,0,1,1,0
1964,16061,16,ID,Idaho,061,Lewis County,1,0,1,1,0
1964,16063,16,ID,Idaho,063,Lincoln County,1,0,1,1,0
1964,16067,16,ID,Idaho,067,Minidoka County,1,0,1,1,0
1964,16069,16,ID,Idaho,069,Nez Perce County,1,0,1,1,0
1964,16073,16,ID,Idaho,073,Owyhee County,1,0,1,1,0
1964,16075,16,ID,Idaho,075,Payette County,1,0,1,1,0
1964,16077,16,ID,Idaho,077,Power County,1,0,1,1,0
1964,16079,16,ID,Idaho,079,Shoshone County,1,0,1,1,0
1964,16087,16,ID,Idaho,087,Washington County,1,0,1,1,0
1964,41001,41,OR,Oregon,001,Baker County,1,0,1,1,0
1964,41003,41,OR,Oregon,003,Benton County,1,0,1,1,0
1964,41005,41,OR,Oregon,005,Clackamas County,1,0,1,1,0
1964,41007,41,OR,Oregon,007,Clatsop County,1,0,1,1,0
1964,41009,41,OR,Oregon,009,Columbia County,1,0,1,1,0
1964,41011,41,OR,Oregon,011,Coos County,1,0,1,1,0
1964,41013,41,OR,Oregon,013,Crook County,1,0,1,1,0
1964,41015,41,OR,Oregon,015,Curry County,1,0,1,1,0
1964,41017,41,OR,Oregon,017,Deschutes County,1,0,1,1,0
1964,41019,41,OR,Oregon,019,Douglas County,1,0,1,1,0
1964,41021,41,OR,Oregon,021,Gilliam County,1,0,1,1,0
1964,41023,41,OR,Oregon,023,Grant County,1,0,1,1,0
1964,41025,41,OR,Oregon,025,Harney County,1,0,1,1,0
1964,41027,41,OR,Oregon,027,Hood River County,1,0,1,1,0
1964,41029,41,OR,Oregon,029,Jackson County,1,0,1,1,0
1964,41031,41,OR,Oregon,031,Jefferson County,1,0,1,1,0
