year,declarations
2017,39
2016,103
2015,79
2014,84
2013,95
2012,112
2011,242
2010,108
2009,115
2008,143
2007,136
2006,143
2005,155
2004,118
2003,123
2002,119
2001,100
2e3,113
1999,110
1998,128
1997,47
1996,158
1995,38
1994,57
1993,58
1992,53
1991,45
1990,43
1989,32
1988,16
1987,31
1986,29
1985,36
1984,42
1983,24
1982,27
1981,18
1980,31
1979,59
1978,41
1977,61
1976,45
1975,45
1974,53
1973,55
1972,48
1971,20
1970,19
1969,29
1968,19
1967,11
1966,11
1965,25
1964,25
1963,20
1962,22
1961,12
1960,12
1959,7
1958,7
1957,16
1956,16
1955,18
1954,17
1953,13
