disaster,state,county,year,amount,structure,type,amount_sum
1261,Alabama,NA,1998,350500,Single Family,Owner Occupied - Principal Residence,350500
1264,Louisiana,NA,1998,252000,Single Family,Owner Occupied - Principal Residence,1142737
1260,Tennessee,NA,1998,48000,Non-residential - Private,Not Applicable,727577
1239,Texas,NA,1998,32163,Single Family,Owner Occupied - Principal Residence,5306441
1257,Texas,Travis,1998,15650,Manufactured Home,Owner Occupied - Secondary Residence,15650
1268,Wyoming,NA,1998,110000,Manufactured Home,Owner Occupied - Principal Residence,110000
1276,Colorado,NA,1999,285111,Single Family,Owner Occupied - Principal Residence,1858165
1271,Georgia,NA,1999,67650,Single Family,Rental,467550
1278,Illinois,NA,1999,32017,Single Family,Owner Occupied - Secondary Residence,125229
1282,Iowa,NA,1999,10461,Single Family,Owner Occupied - Principal Residence,5505124
1269,Louisiana,Bossier,1999,108750,Single Family,Owner Occupied - Principal Residence,398425
1269,Louisiana,Caddo,1999,138603,Single Family,Owner Occupied - Principal Residence,138603
1308,Maine,NA,1999,133000,Single Family,Owner Occupied - Principal Residence,133000
1303,Maryland,NA,1999,335000,Single Family,Owner Occupied - Principal Residence,1288621
1283,Minnesota,NA,1999,56000,Single Family,Owner Occupied - Principal Residence,56000
1270,Missouri,NA,1999,1000,Single Family,Owner Occupied - Principal Residence,257821
1286,Nebraska,NA,1999,170040,Single Family,Owner Occupied - Principal Residence,364594
1295,New Jersey,NA,1999,88518,Single Family,NA,9417679
1296,New York,NA,1999,10100,Single Family,Owner Occupied - Principal Residence,1980709
1292,North Carolina,NA,1999,53107,Single Family,Owner Occupied - Secondary Residence,63274828
1279,North Dakota,NA,1999,38808,Manufactured Home,Not Applicable,4666813
1294,Pennsylvania,NA,1999,46225,Non-residential - Private,Not Applicable,4324880
1299,South Carolina,NA,1999,1193302,Single Family,Owner Occupied - Principal Residence,2052405
1262,Tennessee,NA,1999,773000,Single Family,Owner Occupied - Principal Residence,2677772
1287,Texas,NA,1999,83653,Single Family,Owner Occupied - Principal Residence,3007003
1293,Virginia,NA,1999,234858,Single Family,Owner Occupied - Principal Residence,3015810
1317,Alabama,NA,2000,62540,Single Family,Owner Occupied - Principal Residence,591051
1347,Arizona,NA,2000,114209,Vacant Land,Not Applicable,688986
1354,Arkansas,NA,2000,82422,Single Family,Owner Occupied - Principal Residence,274109
1311,Georgia,NA,2000,365900,Single Family,Owner Occupied - Principal Residence,5751030
1327,Kansas,NA,2000,69959,Single Family,Owner Occupied - Principal Residence,338373
1320,Kentucky,NA,2000,29600,Manufactured Home,Owner Occupied - Principal Residence,390700
1314,Louisiana,Ouachita,2000,100000,Single Family,Owner Occupied - Principal Residence,100000
1326,Maine,NA,2000,146700,Non-residential - Public,Not Applicable,146700
1324,Maryland,NA,2000,35750,Single Family,Owner Occupied - Principal Residence,654835
1346,Michigan,NA,2000,281866,Manufactured Home,NA,1886710
1333,Minnesota,NA,2000,19600,Non-residential - Private,Other (Specify in Comments),1646635
1328,Missouri,NA,2000,48015,Single Family,Owner Occupied - Principal Residence,1091464
1337,New Jersey,NA,2000,513137,Single Family,NA,671050
1312,North Carolina,NA,2000,27333,Single Family,Owner Occupied - Principal Residence,1918165
1334,North Dakota,NA,2000,242259,Single Family,Owner Occupied - Principal Residence,508293
1339,Ohio,NA,2000,3500,Single Family,Owner Occupied - Principal Residence,1323609
1355,Oklahoma,NA,2000,126316,Non-residential - Private,Not Applicable,8759672
