fips,ruc93,ruc03,ruc13,metro93,metro03,metro13,year,fmr,tot_pop,black_pct,female_pct,county,stname,pay,employment,establishments,emp,unemp,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,st_fips,st_abrv,st_name,cty_fips,cty_name,disasters,ihp,iap,pap,hmp
22051,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,21775,180439,11462,212874,19665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,051,Jefferson Parish,10,0,10,7,1
22057,3,3,3,metro,metro,metro,1992,434,NA,NA,NA,NA,NA,20212,22221,1637,34113,2297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,057,Lafourche Parish,11,0,10,9,1
22071,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,25186,266098,12993,184792,20190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,071,Orleans Parish,1,0,1,1,0
22075,1,1,1,metro,metro,metro,1992,487,NA,NA,NA,NA,NA,28398,16102,809,9364,1151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,075,Plaquemines Parish,7,0,7,6,0
22087,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,20590,13549,1029,28078,3260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,087,St. Bernard Parish,10,0,10,8,0
22089,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,30788,19496,727,18653,2157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,089,St. Charles Parish,10,0,9,8,0
22095,1,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,24567,10389,572,16508,2117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,095,St. John the Baptist Parish,9,0,8,7,0
22103,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,18209,37719,3115,66949,6338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,103,St. Tammany Parish,13,0,12,9,0
22109,3,3,3,metro,metro,metro,1992,434,NA,NA,NA,NA,NA,22584,34562,2269,38217,3467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,109,Terrebonne Parish,11,0,10,8,1
22051,0,1,1,metro,metro,metro,1993,451,NA,NA,NA,NA,NA,22163,183858,11590,212178,18895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,051,Jefferson Parish,10,0,10,7,1
22057,3,3,3,metro,metro,metro,1993,447,NA,NA,NA,NA,NA,19985,22917,1670,34093,2190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,057,Lafourche Parish,11,0,10,9,1
22071,0,1,1,metro,metro,metro,1993,451,NA,NA,NA,NA,NA,25903,264212,12810,183388,20372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,071,Orleans Parish,1,0,1,1,0
22075,1,1,1,metro,metro,metro,1993,495,NA,NA,NA,NA,NA,28964,15544,797,9203,1021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,075,Plaquemines Parish,7,0,7,6,0
