fips,ruc93,ruc03,ruc13,metro93,metro03,metro13,year,fmr,tot_pop,black_pct,female_pct,county,stname,pay,employment,establishments,emp,unemp,long,lat,long_d,lat_d,return_katrina,exmpt_katrina,agi_katrina,return_katrina_eyer,exmpt_katrina_eyer,agi_katrina_eyer,return_katrina_eyer_noho,exmpt_katrina_eyer_noho,agi_katrina_eyer_noho,return_own,exmpt_own,agi_own,totalValidRegistrations,validCallCenterRegistrations,validWebRegistrations,validMobileRegistrations,ihpReferrals,ihpEligible,ihpAmount,haReferrals,haEligible,haAmount,onaReferrals,onaEligible,onaAmount,st_fips,st_abrv,st_name,cty_fips,cty_name,disasters,ihp,iap,pap,hmp,area_sqm
22051,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,21775,180439,11462,212874,19665,-90.14520392992787,29.871744022448087,-90.14520392992787,29.871744022448087,3271,6193,86635,0.32907444668008046,0.3232592128614678,0.31440754853928504,0.32907444668008046,0.3232592128614678,0.31440754853928504,159650,361383,5140503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,051,Jefferson Parish,10,0,10,7,1,497.225
22057,3,3,3,metro,metro,metro,1992,434,NA,NA,NA,NA,NA,20212,22221,1637,34113,2297,-90.43786512111947,29.57240907169766,-90.43786512111947,29.57240907169766,229,552,4954,0.023038229376257546,0.028813028499843407,0.017978588277989475,0.023038229376257546,0.028813028499843407,0.017978588277989475,25916,65585,748543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,057,Lafourche Parish,11,0,10,9,1,1204.53
22071,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,25186,266098,12993,184792,20190,-89.92944735360277,30.069110849409217,-89.92944735360277,30.069110849409217,4395,7556,109254,0.44215291750503016,0.3944044263493058,0.3964942841589548,0.44215291750503016,0.3944044263493058,0.3964942841589548,157198,344201,4383369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,071,Orleans Parish,1,0,1,1,0,349.978
22075,1,1,1,metro,metro,metro,1992,487,NA,NA,NA,NA,NA,28398,16102,809,9364,1151,-89.61071603949237,29.4372379556305,-89.61071603949237,29.4372379556305,26,55,436,0.0026156941649899397,0.0028708633469046872,0.0015822899655234984,0.0026156941649899397,0.0028708633469046872,0.0015822899655234984,7938,20365,229146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,075,Plaquemines Parish,7,0,7,6,0,1172.743
22087,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,20590,13549,1029,28078,3260,-89.66554926474849,29.869183774780762,-89.66554926474849,29.869183774780762,32,68,694,0.0032193158953722333,0.003549431047082159,0.002518599165305752,0.0032193158953722333,0.003549431047082159,0.002518599165305752,22673,53132,622020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,087,St. Bernard Parish,10,0,10,8,0,531.22
22089,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,30788,19496,727,18653,2157,-90.35757335431146,29.91314982814965,-90.35757335431146,29.91314982814965,87,222,2810,0.00875251509054326,0.011587848418415283,0.010197786245690437,0.00875251509054326,0.011587848418415283,0.010197786245690437,14378,37067,502238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,089,St. Charles Parish,10,0,9,8,0,409.689
22095,1,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,24567,10389,572,16508,2117,-90.50792113802291,30.112644133854058,-90.50792113802291,30.112644133854058,169,438,4047,0.017002012072434607,0.022862511744440966,0.014686989657049537,0.017002012072434607,0.022862511744440966,0.014686989657049537,13062,35045,398067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,095,St. John the Baptist Parish,9,0,8,7,0,349.357
22103,0,1,1,metro,metro,metro,1992,528,NA,NA,NA,NA,NA,18209,37719,3115,66949,6338,-89.96507421897307,30.40707395540083,-89.96507421897307,30.40707395540083,1459,3476,60017,0.14678068410462777,0.18143856352437623,0.21780802032299038,0.14678068410462777,0.18143856352437623,0.21780802032299038,48764,123353,1858158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,103,St. Tammany Parish,13,0,12,9,0,1112.279
22109,3,3,3,metro,metro,metro,1992,434,NA,NA,NA,NA,NA,22584,34562,2269,38217,3467,-90.83826892736919,29.44769871397419,-90.83826892736919,29.44769871397419,272,598,6703,0.027364185110663984,0.031214114208163692,0.024325893667211034,0.027364185110663984,0.031214114208163692,0.024325893667211034,31193,80801,886859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,109,Terrebonne Parish,11,0,10,8,1,1425.964
22051,0,1,1,metro,metro,metro,1993,451,NA,NA,NA,NA,NA,22163,183858,11590,212178,18895,-90.14520392992787,29.871744022448087,-90.14520392992787,29.871744022448087,3153,5923,84112,0.3344293593551124,0.3294399021080149,0.31951377018043686,0.3344293593551124,0.3294399021080149,0.31951377018043686,158572,357399,5154311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,LA,Louisiana,051,Jefferson Parish,10,0,10,7,1,497.225
